xactid;op
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;12
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;5
0000142C0011;8
0000142C0011;21
0000142C0011;5
0000142C0011;5
